year;phenomenon;severity
1999;La Nina;Strong
2000;La Nina;Weak
2001;La Nina;Weak
2002;El Nino;Moderate
2003;El Nino;Moderate
2004;El Nino;Weak
2005;La Nina;Weak
2006;El Nino;Weak
2007;La Nina;Strong
2008;La Nina;Weak
2009;El Nino;Moderate
2010;La Nina;Strong
2011;La Nina;Moderate
2012;La Nina;Moderate
2013;La Nina;Moderate
2014;El Nino;Weak
2015;El Nino;Very Strong
2016;La Nina;Weak
2017;La Nina;Weak
2018;El Nino;Weak
2019;El Nino;Weak
2020;La Nina;Moderate
2021;La Nina;Moderate
2022;La Nina;Weak